INCI name,EINECS/ELINCS number,Classification,Penalty,Functions,Other language,Other languages,Origin(s),Food additive,Chemical name
CAPRYLIC/CAPRIC TRIGLYCERIDE,277-452-2/ 265-724-3,Esterified oil,"""No penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Solvent : Dissolves other substances', 'Perfuming : Used for perfume and aromatic raw materials', 'Skin conditioning - occlusive : Retarding the evaporation of water from the skin surface. Occlusives are generally lipids which tend to remain on the skin surface and thus increase the water content of skin.']",,"Capryl/Capric Triglyceride, Kapril-kaprikus/kaprikus triglicerid, Kaprilik/Kaprik Trigliserit, Kaprilni/kaprinski triglicerid, Triglicerid caprilic/capric, Trigliceride caprilico / caprico, Triglicerídeo caprílico / cáprico, Triglicérido caprílico / cáprico, Triglycerid kaprylový/kapricový, Trójgliceryd kaprylowy/kaprynowy, triglycerid kaprylový/kapricový, Каприлов/капринов триглицерид, Цаприлиц/Цаприц триглицерид, טריגליצריד קפרילי/קפרי, كابريليك/كابريك ثلاثي الغليسريد الكابريليك/كابريك ثلاثي الغليسريد, カプリル／カプリン酸トリグリセリド, 카프릴릭/카프릭 트리글리세리드","Vegetal, Synthetic",,
CAPRYLOYL GLYCERIN/SEBACIC ACID COPOLYMER,-,Natural or hemisynthesis polymer,"""No penalty"" in all categories.","['Film forming : Produces a continuous film on skin, hair or nails', 'Hair conditioning : Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning : Maintains skin in good condition', 'Skin protecting : Helps to avoid the harmful effects of external factors on the skin']",,,Vegetal,,
CAPRYLOYL SALICYLIC ACID,,,"""No penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,,,,
CAPRYLYL GLYCOL,214-254-7,Glycol,"""Low penalty"" in all categories.","['Deodorant : Reduces or masks unpleasant body odors', 'Emollient : Softens and smoothes the skin', 'Hair conditioning : Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning : Maintains skin in good condition']",,"Capricilglicol, Caprililglicol, Caprylyl glikol, Caprylylglykol, Glicole caprilico, Glikol kaprylowy, Kapril-glikol, Kaprilil glikol, Kaprylový glykol, Каприлил гликол, Цаприлил глицол, קפריליל גליקול, كابريليل جلايكول, カプリリルグリコール, 카프릴릴 글리콜","Vegetal, Synthetic",,
CAPRYLYL/CAPRYL GLUCOSIDE,500-220-1,Nonionic surfactant,"""No penalty"" in all categories.","['Cleansing : Helps to keep a clean surface', 'Foaming : Capturing small air bubbles or other gases in a small volume of liquid by changing the surface tension of the liquid', 'Surfactant : Reduces the surface tension of cosmetics and contributes to the even distribution of the product when it is used']",,"Caprilil/capril glicosídeo, Caprilil/capril glucoside, Capryl/capryl Glucozid, Caprylyl/Caprylglucosid, Caprylyl/caprylglucoside, Glucoside de caprylyle/capryle, Glucósido caprilil/caprilil, Kapril/kapril-glükozid, Kaprilil/kapril Glukozit, Kaprilil/kapril glukozid, Kaprylyl/kaprylglukosid, Kaprylyl/kaprylglukozid, Kaprylyl/kaprylowy glukozyd, Каприлил/каприл глукозид, Каприлил/каприл глюкозид, קפריליל/קפריל גלוקוזיד, كابريليل/كابريل جلوكوزيد, カプリリル/カプリルグルコシド, 카프릴릴/카프릴글루코사이드",,,
CAPSANTHIN/CAPSORUBIN,207-364-1,Regulated,"""No penalty"" in all categories.",['Cosmetic colorant : Color cosmetics and / or give a color to the skin'],,"Colorant orange, Colorante arancione, Colorante naranja, Corante laranja, Orangefarbener Farbstoff",,E160c,
CAPSICUM FRUTESCENS FRUIT EXTRACT,288-920-0,,"""No penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,"Acı biber özütü, Chili paprika kivonat, Chili-Pfeffer-Extrakt, Chilipeper extract, Ekstrakt z papryczki chili, Ekstrakt čili papričice, Estratto di peperoncino, Extract de ardei iute, Extracto de chile picante, Extrait de piment de cayenne, Extrakt z chilli papriček, Extrakt z chilli papričky, Extrato de pimenta, Екстракт от люти чушки, Екстракт чили паприке, תמצית פלפל צ'ילי, مستخلص الفلفل الحار, 唐辛子エキス, 고추 추출물",Vegetal,,
CARAMEL,232-435-9,Regulated,"""No penalty"" in all categories.","['Cosmetic colorant : Color cosmetics and / or give a color to the skin', 'Masking : Reduces or inhibits the odor or basic taste of the product']",,"Caramel (colorant), Caramello (colorante), Caramelo (corante), Caramelo (tinte), Karamel (barvivo), Karamel (boya), Karamel (farbivo), Karamel (kleurstof), Karamell (Farbstoff), Karamell (festék), Karmel (barwnik), karamela (boja), Карамел (багрило), карамела (боја), קרמל (צבע), كراميل (صبغة), キャラメル（染料）, 카라멜(염색)",,E150,
CARAPA GUAIANENSIS SEED OIL,- / -,Vegetable oil,"""No penalty"" in all categories.","['Denaturant : Makes cosmetics unpleasant. Mainly added to cosmetics containing ethyl alcohol', 'Skin conditioning : Maintains skin in good condition']",,"Aceite de semilla de andiroba, Andiroba mag olaj, Andiroba tohumu yağı, Andiroba ulje sjemenki, Andiroba zaadolie, Andirobasamenöl, Huile de graine d'Andiroba, Olej z nasion andiroba, Olej ze semen Andiroby, Olej zo semien Andiroba, Olio di semi di Andiroba, Ulei de semințe de andiroba, Óleo de semente de andiroba, Масло от семена на андироба, Уље семена Андиробе, שמן זרעי אנדירובה, زيت بذور الأندروبا, アンディロバ種子油, 안디로바씨드오일",Vegetal,,
CARBOMER,- / - / - / - / - / -,Synthetic polymer,"""Medium penalty"" in all categories.","['Emulsion stabilising : Promotes the emulsification process and improves the stability and shelf life of the emulsion', 'Gel forming : Gives a liquid preparation the consistency of a gel', 'Viscosity controlling : Increases or decreases the viscosity of cosmetics']",,"Carbomeer, Carbomère, Carbómero, Karbomer, karbomer, Карбомер, Царбомер, קרבומר, كاربومر, カルボマー, 카보머",Synthetic,,
CARBON,231-153-3,,"""No penalty"" in all categories.",['Unclassified : Unclassified'],,,,,
CARICA PAPAYA FRUIT EXTRACT,281-675-0,,"""No penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,"Ekstrakt ploda papaje, Ekstrakt z owoców papai, Estratto di frutta di papaia, Extract de fructe de papaya, Extracto de papaya, Extrait de papaye, Extrakt z plodů papáje, Extrato de mamão, Papaja-vruchtextract, Papaya gyümölcs kivonat, Papaya meyve özütü, Papaya-Fruchtextrakt, Výťažok z plodov papáje, Екстракт воћа папаје, Екстракт от плодове папая, תמצית פירות פפאיה, مستخلص فاكهة البابايا, パパイヤ果実エキス, 파파야 과일 추출물",Vegetal,,
CARICA PAPAYA SEED OIL,281-675-0,Vegetable oil,"""No penalty"" in all categories.","['Humectant : Maintains water content of a cosmetic both in its packaging and on the skin', 'Skin conditioning : Maintains skin in good condition']",,"Aceite de semilla de papaya, Huile de graine de papaye, Olej z nasion papai, Olej ze semen papáje, Olej zo semien papáje, Olio di semi di papaya, Papaja zaadolie, Papaya mag olaj, Papaya çekirdeği yağı, Papayakernöl, Ulei de semințe de papaya, Ulje sjemenki papaje, Óleo de semente de mamão, Масло от семена на папая, Уље семена папаје, שמן זרעי פפאיה, زيت بذور البابايا, パパイヤ種子油, 파파야씨 오일",Vegetal,,
CARRAGEENAN,232-524-2 (I),"Sulphate, Natural or hemisynthesis polymer","""No penalty"" in all categories.",[],,"Caragenan (alge roșii), Carrageen (rode algen), Carrageen (rote Algen), Carragenina (alga roja), Carragenina (algas vermelhas), Carragenina (alghe rosse), Carraghénane (extrait d'algues rouges), Karagen (alga czerwona), Karagenan (kırmızı alg), Karagenan (červené řasy), Karagénan (červené riasy), Karragén (vörös alga), karagenan (crvena alga), Карагенан (червени водорасли), карагенан (црвене алге), קרגינן (אצה אדומה), الكاراجينان (الطحالب الحمراء), カラギーナン（紅藻類）, 카라기난(홍조류)",Vegetal,E407,
CARTHAMUS TINCTORIUS SEED OIL,232-276-5,Vegetable oil,"""No penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning : Maintains skin in good condition']",,"Aceite de semilla de cártamo, Aspir yağı, Huile de graine de carthame, Olej z nasion krokosza barwierskiego, Olej ze semen světlice barvířské, Olio di semi di cartamo, Pórsáfránymag olaj, Saffloerolie, Saflorsamenöl, Svetlicový olej, Ulei de seminte de sofran, Ulje sjemenki šafranike, Óleo de semente de cártamo, Масло от шафранови семена, Уље семена шафранике, שמן זרעי חריע, زيت بذور القرطم, ベニバナ種子油, 홍화씨 오일",Vegetal,,
CARVONE,229-352-5 / 218-827-2 / 202-759-5,"Allergen, Regulated","""Low penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Perfuming : Used for perfume and aromatic raw materials', 'Flavouring agent : Gives an aroma to the cosmetic product']",,,,,
CARYA ILLINOENSIS SEED OIL,-,,"""No penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],Huile de noix de pécan,,Vegetal,,
CARYOCAR BRASILIENSE FRUIT OIL,,Vegetable oil,"""No penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,"Aceite de fruto de pequi, Huile de fruit de péqui, Olejek z owoców pequi, Olio di frutto di pequi, Ovocný olej Pequi, Pequi gyümölcs olaj, Pequi meyve yağı, Pequi voćno ulje, Pequi-Fruchtöl, Pequi-vruchtolie, Ulei de fructe Pequi, Óleo de fruta pequi, Пеки воћно уље, Плодово масло Pequi, שמן פירות Pequi, زيت فاكهة البيكي, ペキ果実オイル, 페키 과일 오일",Vegetal,,
CARYODENDRON ORINOCENSE SEED OIL,,Vegetable oil,"""No penalty"" in all categories.","['Emollient : Softens and smoothes the skin', 'Hair conditioning : Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning : Maintains skin in good condition']",,"Aceite de semilla de cacay, Cacay mag olaj, Cacay tohumu yağı, Cacay-Samenöl, Cacay-zaadolie, Huile de Cacay, Olej z nasion kakaowca, Olej ze semen Cacay, Olej zo semien cacay, Olio di semi di cacay, Ulei din semințe de cacay, Ulje sjemenki kakaja, Óleo de semente de cacay, Масло от семена на Cacay, Уље од семена какаја, שמן זרעי קקאי, زيت بذور الكاكاي, カカイ種子油, 카카이씨드 오일",Vegetal,,
CASTANEA CRENATA SHELL EXTRACT,-,,"""No penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,"Burr extrakt (japonský gaštan), Burr extrakt (japonský kaštan), Burr-Extrakt (Japanische Kastanie), Ekstrakt z kasztanowca japońskiego, Ekstrakt čička (japanski kesten), Estratto di castagna giapponese, Extract de bavuri (castan japonez), Extract van kliswortel (Japanse kastanje), Extracto de rebaba (castaño japonés), Extrait de bogue (Châtaignier du Japon), Extrato de rebarba (castanha japonesa), Kestane özütü (Japon kestanesi), Sorja kivonat (japán gesztenye), Екстракт бура (јапански кестен), Екстракт от бура (японски кестен), תמצית בר (ערמון יפני), مستخلص شجر الكستناء الياباني, イガエキス（栗）, 밤나무 추출물(일본산 밤)",,,
CASTANEA SATIVA SEED EXTRACT,283-619-0,,"""No penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,"Ekstrakt kestena, Ekstrakt z kasztanowca, Estratto di castagna, Extract de castane, Extracto de castaña, Extrait de châtaigne, Extrakt z kaštanu, Extrato de castanha, Gaštanový extrakt, Gesztenye kivonat, Kastanienextrakt, Kastanje-extract, Kestane özütü, Екстракт кестена, Екстракт от кестен, תמצית ערמונים, مستخلص الكستناء, 栗エキス, 밤 추출물",Vegetal,,
CATALASE,232-577-1,"Regulated, Forbidden in Europe","""Strong penalty"" in all categories.","['Hair conditioning : Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning - miscellaneous : Improving the appearance of dry and/or damaged skin by reducing flaking and restoring its suppleness.']",,,,,
CAVIAR EXTRACT,,,"""No penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,"Ekstrakt kavijara, Ekstrakt z kawioru, Estratto di caviale, Extract de caviar, Extracto de caviar, Extrait de caviar, Extrato de caviar, Havyar özütü, Kaviaar extract, Kaviarextrakt, Kaviár kivonat, Kaviárový extrakt, Екстракт кавијара, Екстракт от хайвер, תמצית קוויאר, مستخلص الكافيار, キャビアエキス, 캐비어 추출물",,,
CEDRUS ATLANTICA BARK EXTRACT,295-985-9,"Allergen, Regulated","""Low penalty"" in all categories.","['Skin conditioning : Maintains skin in good condition', 'Perfuming : Used for perfume and aromatic raw materials']",,,Vegetal,,
CEDRUS ATLANTICA BARK OIL,- / - / 295-985-9 / 295-985-9,"Allergen, Regulated, Essential oil","""Low penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Skin conditioning : Maintains skin in good condition', 'Perfuming : Used for perfume and aromatic raw materials']",,"Aceite de corteza de cedro Atlas, Atlas Sedir kabuğu yağı, Atlas Zedernrindenöl, Atlasceder schors olie, Atlasz cédrus kéreg olaj, Huile d'écorce de cèdre de l'Atlas, Olej z kôry cédrového atlasu, Olej z kůry cedru Atlas, Olejek z kory cedru atlaskiego, Olio di corteccia di cedro dell'Atlante, Ulei de scoarță de cedru Atlas, Ulje kore Atlas cedra, Óleo de casca de cedro do Atlas, Масло от кора на атласки кедър, Уље коре атласког кедра, שמן קליפת אטלס ארז, زيت لحاء الأرز الأطلسي, アトラスシダー樹皮オイル, 아틀라스 시더나무껍질 오일",Vegetal,,
CEDRUS ATLANTICA BARK WATER,295-985-9,"Allergen, Regulated","""Low penalty"" in all categories.","['Skin conditioning : Maintains skin in good condition', 'Perfuming : Used for perfume and aromatic raw materials']",Eau d'écorce de Cèdre de l'Atlas,,Vegetal,,
CEDRUS ATLANTICA LEAF EXTRACT,295-985-9,"Allergen, Regulated","""Low penalty"" in all categories.","['Hair conditioning : Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin conditioning : Maintains skin in good condition']",,,Vegetal,,
CEDRUS ATLANTICA OIL/EXTRACT,,Allergen,"""Low penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],,,,,
CEDRUS ATLANTICA WOOD EXTRACT,295-985-9,"Allergen, Regulated","""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,Vegetal,,
CEDRUS ATLANTICA WOOD OIL,295-985-9,"Allergen, Regulated, Essential oil","""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,"Aceite de madera de cedro del Atlas, Atlas Cedra Holzöl, Atlas Cedra faolaj, Atlas Cedra hout olie, Atlas Sedir ağacı yağı, Atlas cedra drvo ulje, Huile de bois de cèdre de l'Atlas, Olej na drevo Atlas Cedra, Olej na dřevo Atlas Cedra, Olejek do drewna Atlas Cedra, Olio di legno Atlas Cedra, Ulei de lemn Atlas Cedra, Óleo de madeira Atlas Cedra, Атлас Цедра уље за дрво, Масло от дърво Atlas Cedra, שמן עץ אטלס סידרה, زيت خشب الأرز الأطلسي, アトラスセドラウッドオイル, 아틀라스 시드라 우드 오일",Vegetal,,
CELLULOSE,232-674-9,Natural or hemisynthesis polymer,"""No penalty"" in all categories.","['Absorbent : Absorbs water (or oil) in dissolved or fine form', 'Bulking : Reduces apparent cosmetics density.', 'Opacifying : Reduces transparency or translucency of cosmetics', 'Viscosity controlling : Increases or decreases the viscosity of cosmetics']",,"Cellulóz, Celulosa, Celulose, Celuloza, Celuloză, Celulóza, Selüloz, Zellulose, Целулоза, תָאִית, السليلوز, セルロース, 셀룰로오스",Vegetal,E460,
CELLULOSE ACETATE BUTYRATE,-,,"""No penalty"" in all categories.","['Film forming : Produces a continuous film on skin, hair or nails']",CAB,,"Vegetal, Synthetic",,
CELLULOSE GUM,-,Natural or hemisynthesis polymer,"""No penalty"" in all categories.","['Binding agent : Allows the cohesion of different cosmetic ingredients', 'Emulsion stabilising : Promotes the emulsification process and improves the stability and shelf life of the emulsion', 'Film forming : Produces a continuous film on skin, hair or nails', 'Masking : Reduces or inhibits the odor or basic taste of the product', 'Viscosity controlling : Increases or decreases the viscosity of cosmetics']",,"Cellulose gom, Cellulóz gumi, Celulozna guma, Celulózová guma, Dérivé de cellulose, Goma de celulosa, Goma de celulose, Gomma di cellulosa, Guma celulozowa, Gumă de celuloză, Selüloz sakızı, Zellulosegummi, Целулозна гума, מסטיק תאית, صمغ السليولوز, セルロースガム, 셀룰로오스 껌",Vegetal,,
CENTAUREA CYANUS FLOWER EXTRACT,281-664-0,,"""No penalty"" in all categories.","['Astringent : Helps tighten skin pores', 'Skin conditioning : Maintains skin in good condition']",,"Búzavirág kivonat, Ekstrakt različka, Ekstrakt z kwiatów chabra, Estratto di fiordaliso, Extract de floarea de colt, Extracto de aciano, Extrait de Bleuet, Extrato de centáurea, Korenbloem extract, Kornblumenextrakt, Peygamber çiçeği özütü, Výtažek z chrpy, Výťažok z nevädze, Екстракт кукуруза, Екстракт от метличина, תמצית קורנפלור, مستخلص زهرة الذرة, ヤグルマギクエキス, 콘플라워 추출물",Vegetal,,
