INCI name,EINECS/ELINCS number,Classification,Penalty,Functions,Other language,Other languages,Origin(s),Food additive,Chemical name
"1,2,4-TRIHYDROXYBENZENE",208-575-1,"Regulated, Hair dye, Forbidden in Europe","""Strong penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"1,2-DIMETHOXY-4-(2-PROPENYL)-BENZENE",202-223-0,Regulated,"""Low penalty"" in all categories.",[],Méthyleugénol,,,,
"1,2-HEXANEDIOL",230-029-6,,"""No penalty"" in all categories.","['Skin conditioning : Maintains skin in good condition', 'Solvent : Dissolves other substances']",,"1,2-Heksandiol, 1,2-Hexaandiol, 1,2-Hexandiol, 1,2-Hexanodiol, 1,2-Hexándiol, 1,2-esandiolo, 1,2-heksandiol, 1,2-heksanodiol, 1,2-hexandiol, 1,2-hexándiol, 1,2-хександиол, 1,2-הקסנדיול, 1,2-ヘキサンジオール, 1,2-헥산디올, 1،2-هيكسانديول",,,
"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE",279-845-4,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE HCL",278-022-7,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"1,4-BENZENEDICARBOXYLIC ACID,1,4-DIMETHYL ESTER,POLYMER:1",,Synthetic polymer,"""Medium penalty"" in all categories.",[],,,Synthetic,,
"1,5-NAPHTHALENEDIOL",201-487-4,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"1-HEXYL 4,5-DIAMINO PYRAZOLE SULFATE",,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"1-HYDROXYETHYL 4,5-DIAMINO PYRAZOLE SULFATE",429-300-3,"Sulphate, Regulated, Hair dye","""Medium penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
1-NAPHTHOL,201-969-4,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],Naphtol et ses sels,,,,
"2,2'-METHYLENEBIS 4-AMINOPHENOL",440-850-3,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,2'-METHYLENEBIS 4-AMINOPHENOL HCL",-,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,3-DIAMINODIHYDROPYRAZOLO PYRAZOLONE DIMETHOSULFONATE",469-500-8,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,4-DIAMINOPHENOXYETHANOL HCL",266-357-1,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,4-DIAMINOPHENOXYETHANOL SULFATE",274-713-2,"Sulphate, Regulated, Hair dye","""Medium penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,5,6-TRIAMINO-4-PYRIMIDINOL SULFATE",216-500-9,"Sulphate, Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,6-DIAMINO-3-((PYRIDIN-3-YL)AZO)PYRIDINE",421-430-9,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,6-DIAMINOPYRIDINE",205-507-2,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,6-DIHYDROXY-3,4-DIMETHYLPYRIDINE",283-141-2,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,6-DIHYDROXYETHYLAMINOTOLUENE",443-210-1,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,6-DIMETHOXY-3,5-PYRIDINEDIAMINE HCL",260-062-1,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"2,7-NAPHTHALENEDIOL",209-478-7,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
2-AMINO-3-HYDROXYPYRIDINE,240-886-8,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,,,
2-AMINO-4-HYDROXYETHYLAMINOANISOLE,280-733-2,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,,,
2-AMINO-4-HYDROXYETHYLAMINOANISOLE SULFATE,280-734-8,"Sulphate, Regulated, Hair dye","""Medium penalty"" in all categories.",[''],,,,,
2-AMINO-5-ETHYLPHENOL HCL,-,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
2-AMINO-6-CHLORO-4-NITROPHENOL,228-762-1,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,,,
"2-BROMO-2-NITROPROPANE-1,3-DIOL",200-143-0,"Regulated, Formaldehyde liberator, Preservative","""Strong penalty"" in all categories.",['Preservative : Inhibits the development of microorganisms in cosmetic products.'],Bronopol,,Synthetic,,
2-CHLORO-P-PHENYLENEDIAMINE,210-441-2,"PPD, Hair dye, Forbidden in Europe","""Strong penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,Synthetic,,
2-CHLORO-P-PHENYLENEDIAMINE SULFATE,228-291-1,"Sulphate, PPD, Hair dye, Forbidden in Europe","""Strong penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
2-ETHYLHEXYLAL,,,"""No penalty"" in all categories.",['Solvent : Dissolves other substances'],,,,,
2-HYDROXYETHYL PICRAMIC ACID,412-520-9,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,,,
2-HYDROXYETHYLAMINO-5-NITROANISOLE,266-138-0,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
2-METHOXYMETHYL-P-PHENYLENEDIAMINE,679-526-3,"PPD, Regulated, Hair dye","""Medium penalty"" in all categories.",[''],,,,,
2-METHYL-1-NAPHTHOL,231-265-2,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
2-METHYL-5-HYDROXYETHYLAMINOPHENOL,259-583-7,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,,,
2-METHYLRESORCINOL,210-155-8,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,Synthetic,,
2-NAPHTHOL,205-182-7,"Regulated, Forbidden in Europe","""Strong penalty"" in all categories.","['Hair dyeing : Colors the hair', 'Perfuming : Used for perfume and aromatic raw materials']",,,,,
2-NITRO-5-GLYCERYL METHYLANILINE,279-383-3,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"3-AMINO-2,4-DICHLOROPHENOL",262-909-0,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
"3-AMINO-2,4-DICHLOROPHENOL HCL",-,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
3-BENZYLIDENE CAMPHOR,239-139-9,"UV chemical filter, Regulated, Forbidden in Europe","""Strong penalty"" in all categories.",['Uv absorber : Protects the cosmetic product from UV-light effects'],,,Synthetic,,
3-CARENE,236-719-3,Regulated,"""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,,,
3-METHYLAMINO-4-NITROPHENOXYETHANOL,261-940-7,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
3-NITRO-P-HYDROXYETHYLAMINOPHENOL,265-648-0,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,,,
"4,4'-ISOPROPYLIDENEDIPHENOL/EPICHLOROHYDRIN COPOLYMER",-,"Suspected endocrine disruptor, Synthetic polymer","""Strong penalty"" in all categories.","['Film forming : Produces a continuous film on skin, hair or nails']",,,,,
4-AMINO-2-HYDROXYTOLUENE,220-618-6,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,,,
4-AMINO-2-NITRODIPHENYLAMINE-2'-CARBOXYLIC ACID,411-260-3,"Regulated, Hair dye","""Strong penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
4-AMINO-3-NITROPHENOL,210-236-8,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,,,
4-AMINO-M-CRESOL,220-621-2,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,,,
4-CHLORORESORCINOL,202-462-0,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
4-HYDROXYBENZOIC ACID,202-804-9,"Regulated, Preservative","""Low penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Preservative : Inhibits the development of microorganisms in cosmetic products.']",,,,,
4-HYDROXYPROPYLAMINO-3-NITROPHENOL,406-305-9,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
4-METHYLBENZYLIDENE CAMPHOR,253-242-6 /,"Suspected endocrine disruptor, UV chemical filter, Regulated","""Strong penalty"" in all categories.","['Stabilising : Improves ingredients or stability of the formula and shelf life', 'Uv absorber : Protects the cosmetic product from UV-light effects', 'Uv filter : Filters certain UV rays to protect the skin or hair from the harmful effects of these rays.']",,,Synthetic,,
4-NITRO-O-PHENYLENEDIAMINE,202-766-3,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
4-PCA DIMETHICONE/BIS-VINYLDIMETHICONE CROSSPOLYMER,,Synthetic polymer,"""Medium penalty"" in all categories.","['Film forming : Produces a continuous film on skin, hair or nails', 'Hair conditioning : Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Skin protecting : Helps to avoid the harmful effects of external factors on the skin', 'Viscosity controlling : Increases or decreases the viscosity of cosmetics']",,,,,
4-TERT-BUTYLDIHYDROCINNAMALDEHYDE,242-016-2,Regulated,"""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,,,
5-AMINO-6-CHLORO-O-CRESOL,283-144-9,"Regulated, Hair dye","""Low penalty"" in all categories.","['Antimicrobial : Helps slowing the growth of micro-organisms on the skin and counteracts the development of microbes', 'Hair dyeing : Colors the hair']",,,,,
"5-BROMO-5-NITRO-1,3-DIOXANE",250-001-7,"Regulated, Formaldehyde liberator, Preservative","""Strong penalty"" in all categories.",['Preservative : Inhibits the development of microorganisms in cosmetic products.'],,,,,
6-AMINO-M-CRESOL,220-620-7,"Regulated, Hair dye","""Strong penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
6-HYDROXYINDOLE,417-020-4,"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,,,
6-METHOXY-2-METHYLAMINO-3-AMINOPYRIDINE HCL,280-622-9 (2HCl),"Regulated, Hair dye","""Low penalty"" in all categories.",[''],,,,,
ABIES ALBA CONE EXTRACT,289-870-2,Regulated,"""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,Vegetal,,
ABIES ALBA CONE OIL,289-870-2,"Regulated, Essential oil","""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,Vegetal,,
ABIES ALBA LEAF CERA,289-870-2,Regulated,"""Low penalty"" in all categories.","['Skin conditioning : Maintains skin in good condition', 'Skin protecting : Helps to avoid the harmful effects of external factors on the skin', 'Perfuming : Used for perfume and aromatic raw materials']",,,Vegetal,,
ABIES ALBA LEAF OIL,289-870-2,"Regulated, Essential oil","""Low penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Tonic : Produces a feeling of well-being on skin and hair', 'Perfuming : Used for perfume and aromatic raw materials']",Huile d'épine de Sapin blanc,,Vegetal,,
ABIES ALBA NEEDLE EXTRACT,289-870-2,Regulated,"""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,Vegetal,,
ABIES ALBA NEEDLE OIL,289-870-2,"Regulated, Essential oil","""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,Vegetal,,
ABIES ALBA WOOD EXTRACT,,Regulated,"""Low penalty"" in all categories.","['Antioxidant : Inhibits reactions favored by oxygen, thus avoiding oxidation and rancidity']",,,Vegetal,,
ABIES BALSAMEA EXTRACT,285-364-0,Regulated,"""Low penalty"" in all categories.","['Film forming : Produces a continuous film on skin, hair or nails', 'Hair conditioning : Leaves hair easy to comb, soft, soft and shiny and / or confers volume, lightness and shine', 'Perfuming : Used for perfume and aromatic raw materials']",Extrait de Sapin baumier,,Vegetal,,
ABIES BALSAMEA NEEDLE OIL,285-364-0,"Regulated, Essential oil","""Low penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Perfuming : Used for perfume and aromatic raw materials']",,"Aceite de agujas de abeto balsámico, Balsam Köknar İğnesi Yağı, Balsam Ulje jelovih iglica, Balsam-Tannennadelöl, Balsemspar naaldolie, Balzsam fenyő tűolaj, Huile d'aiguille de Sapin baumier, Olej z balzamovej jedle, Olej z balzámové jedle, Olejek z igieł jodły balsamicznej, Olio di aghi di abete balsamico, Ulei de ac de brad balsam, Óleo de agulha de abeto balsâmico, Балсамово уље игле, Масло от балсамови иглички, שמן מחט בלסם אשוח, زيت إبر شجر التنوب البلسمي, バルサムモミ針油, 발삼 전나무 바늘 오일",Vegetal,,
ABIES PECTINATA EXTRACT,295-728-0,Regulated,"""Low penalty"" in all categories.","['Deodorant : Reduces or masks unpleasant body odors', 'Tonic : Produces a feeling of well-being on skin and hair']",,,,,
ABIES PECTINATA LEAF EXTRACT,295-728-0,Regulated,"""Low penalty"" in all categories.","['Deodorant : Reduces or masks unpleasant body odors', 'Tonic : Produces a feeling of well-being on skin and hair']",,,,,
ABIES PECTINATA OIL,295-728-0,"Regulated, Essential oil","""Low penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Tonic : Produces a feeling of well-being on skin and hair']",Huile de Sapin pectiné,,,,
ABIES SIBIRICA NEEDLE EXTRACT,294-351-9,Regulated,"""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,Vegetal,,
ABIES SIBIRICA NEEDLE OIL,294-351-9,"Regulated, Essential oil","""Low penalty"" in all categories.",['Perfuming : Used for perfume and aromatic raw materials'],,,Vegetal,,
ABIES SIBIRICA OIL,294-351-9,"Regulated, Essential oil","""Low penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Tonic : Produces a feeling of well-being on skin and hair', 'Perfuming : Used for perfume and aromatic raw materials']",,"Aceite de abeto siberiano, Huile de Sapin de Sibérie, Olej ze sibiřské jedle, Olej zo sibírskej jedle, Olejek jodłowy syberyjski, Olio di abete siberiano, Siberische spar olie, Sibirisches Tannenöl, Sibirya köknar yağı, Ulei de brad siberian, Ulje sibirske jele, szibériai fenyő olaj, Óleo de abeto siberiano, Масло от сибирска ела, Уље сибирске јеле, שמן אשוח סיבירי, زيت التنوب السيبيري, シベリアモミ油, 시베리아 전나무 오일",Vegetal,,
ACACIA DECURRENS FLOWER CERA,308-877-4,,"""No penalty"" in all categories.","['Emollient : Softens and smoothes the skin', 'Skin conditioning : Maintains skin in good condition', 'Skin protecting : Helps to avoid the harmful effects of external factors on the skin']",,"Ceară de flori de mimoză, Cera de flor de mimosa, Cera di fiori di mimosa, Cire de fleur de Mimosa, Mimosa bloemenwas, Mimosenblütenwachs, Mimoza çiçeği mumu, Mimóza virág viasz, Vosak cvijeta mimoze, Vosk z kvetov mimózy, Vosk z květů mimózy, Wosk z kwiatów mimozy, Восак за цвет мимозе, Восък от цветя на мимоза, שעוות פרחי מימוזה, شمع زهرة الميموزا, ミモザの花ワックス, 미모사 꽃 왁스",Vegetal,,
ACACIA SENEGAL GUM,232-519-5,Natural or hemisynthesis polymer,"""No penalty"" in all categories.","['Film forming : Produces a continuous film on skin, hair or nails', 'Masking : Reduces or inhibits the odor or basic taste of the product']",,"Arabische gom, Arabischer gummi, Arabská guma, Arap zamkı, Goma Arabe, Goma arábica, Gomma arabica, Gomme arabique, Guma arabska, arab gumi, arapska guma, gumă arabică, арабска гума, арапска гума, מסטיק ערבית, الصمغ العربي, アラビアゴム, 아랍검",Vegetal,E414,
ACER SACCHARUM EXTRACT,294-807-7,,"""No penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,"Cukor juhar kivonat, Ekstrakt z klonu cukrowego, Ekstrakt šećernog javora, Estratto di acero da zucchero, Extract de arțar cu zahăr, Extract van suikeresdoorn, Extracto de arce azucarero, Extrait de sève d'érable, Extrakt z javoru cukrového, Extrato de bordo de açúcar, Výťažok z cukrového javora, Zuckerahorn-Extrakt, Şeker akçaağaç özütü, Екстракт от захарен клен, Екстракт шећерног јавора, תמצית מייפל סוכר, مستخلص شجر القيقب السكري, サトウカエデエキス, 설탕단풍추출물",Vegetal,,
ACETALDEHYDE,200-836-8,Regulated,"""Strong penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],,,,,
ACETUM,290-419-7,,"""No penalty"" in all categories.",['Antistatic : Reduces static electricity by neutralizing electrical charge on a surface'],,"Aceto, Essig, Vinagre, Vinaigre",,,
ACETYL CEDRENE,,"Allergen, Regulated","""Low penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],,,,,
ACETYL HEXAMETHYL INDAN,239-360-0,Regulated,"""Low penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Perfuming : Used for perfume and aromatic raw materials']",,,,,
ACETYL HEXAMETHYL TETRALIN,216-133-4 / 244-240-6,"Suspected endocrine disruptor, Regulated","""Strong penalty"" in all categories.",['Masking : Reduces or inhibits the odor or basic taste of the product'],,,,,
ACETYL TRIBUTYL CITRATE,201-067-0,,"""No penalty"" in all categories.","['Masking : Reduces or inhibits the odor or basic taste of the product', 'Plasticiser : Softens and softens another substance that otherwise could not easily be deformed, dispersed or worked', 'Perfuming : Used for perfume and aromatic raw materials']",,"Acetil tributil citrat, Acetil-tributil-citrát, Acetyltributylcitraat, Acetyltributylcitrat, Acetyltributylcitrát, Acétylcitrate de tributyle (ATBC), Asetil Tribütil Sitrat, Citrat de acetil tributil, Citrato de Acetil Tributil, Citrato de acetil tributilo, Citrato di acetil tributil, Cytrynian acetylo-tributylu, Ацетил трибутил цитрат, אצטיל טריבוטיל ציטראט, أسيتيل تريبوتيل سترات, アセチルトリブチルクエン酸, 아세틸 트리부틸 시트레이트","Vegetal, Synthetic",,
ACETYL TRIFLUOROMETHYLPHENYL VALYLGLYCINE,-,PFAS,"""Medium penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,,,,
ACHILLEA MILLEFOLIUM EXTRACT,282-030-6,,"""No penalty"" in all categories.","['Anti dandruff : Helps fight against dandruff', 'Cleansing : Helps to keep a clean surface', 'Masking : Reduces or inhibits the odor or basic taste of the product', 'Refreshing : Provides a pleasant freshness to the skin', 'Skin conditioning : Maintains skin in good condition', 'Soothing : Helps to reduce the skin or scalp discomfort', 'Tonic : Produces a feeling of well-being on skin and hair']",,"Cickafark kivonat, Duizendblad extract, Ekstrakt stolisnika, Ekstrakt z krwawnika, Estratto di achillea, Extract de șoricelă, Extracto de milenrama, Extrait d'Achillée millefeuille, Extrakt z rebríka, Extrakt z řebříčku, Extrato de mil-folhas, Schafgarbenextrakt, Yarrow özütü, Екстракт от бял равнец, Екстракт хајдучке траве, תמצית Yarrow, مستخلص اليارو, セイヨウノコギリソウエキス, 야로우 추출물",Vegetal,,
ACHILLEA MILLEFOLIUM FLOWER/LEAF/STEM EXTRACT,282-030-6,,"""No penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],"Extrait d'Achillée millefeuille (fleurs, feuilles et tiges)",,Vegetal,,
ACID BLACK 1,213-903-1,"Regulated, Hair dye","""Low penalty"" in all categories.",[],,,,,"Disodium 4-amino-5-hydroxy-3-[(4-nitrophenyl)azo]-6-(phenylazo)naphthalene-2,7-disulphonate (CI 20470)"
ACID BLUE 62,224-460-9,"Regulated, Hair dye","""Low penalty"" in all categories.","['Cosmetic colorant : Color cosmetics and / or give a color to the skin', 'Hair dyeing : Colors the hair']",,,,,
ACID BLUE 9,223-339-8,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,"Azul brillante FCF, Colorant Bleu brillant FCF, FCF azul brilhante, FCF blu brillante",,E133,
ACID BLUE 9 ALUMINUM LAKE,272-939-6,"Aluminum salt, Regulated, Hair dye","""Medium penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
ACID BLUE 9 AMMONIUM SALT,220-168-0 / - / -,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],Colorant bleu brillant FCF,,,E133,
ACID GREEN 25,224-546-6,"Regulated, Hair dye","""Low penalty"" in all categories.",[],,,,,"Disodium 2,2'-(9,10-dioxoanthracene-1,4-diyldiimino)bis(5-methylsulphonate) (CI 61570)"
ACID ORANGE 7,211-199-0,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
ACID RED 18,220-036-2,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],Colorant rouge (Ponceau 4R),,,E124,
ACID RED 195,-,Regulated,"""Low penalty"" in all categories.",['Cosmetic colorant : Color cosmetics and / or give a color to the skin'],,"Colorant rouge, Colorante rojo, Colorante rosso, Corante vermelho, Roter Farbstoff",,,
ACID RED 33,222-656-9,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
ACID RED 52,222-529-8,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,"Colorant rouge, Colorante rojo, Colorante rosso, Corante vermelho, Crvena boja, Czerwony barwnik, Kırmızı boya, Piros festék, Rode kleurstof, Roter Farbstoff, Vopsea rosie, Červené barvivo, Červené farbivo, Црвена боја, Червена боя, צבע אדום, صبغة حمراء, 赤色染料, 붉은색 염료",,,
ACID RED 92,242-355-6,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,"Colorant rouge, Colorante rojo, Colorante rosso, Corante vermelho, Roter Farbstoff",,,
ACID VIOLET 43,224-618-7,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
ACID YELLOW 1,212-690-2,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,"Colorant jaune, Colorante amarillo, Colorante giallo, Corante amarelo, Gelber Farbstoff",,,
ACID YELLOW 23,217-699-5,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,"Colorant jaune, Colorante amarillo, Colorante giallo, Corante amarelo, Gelber Farbstoff",,E102,
ACID YELLOW 23 ALUMINUM LAKE,235-428-9,"Aluminum salt, Regulated, Hair dye","""Medium penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,E102,
ACID YELLOW 3,,"Regulated, Hair dye","""Low penalty"" in all categories.",['Hair dyeing : Colors the hair'],,,,,
ACORUS CALAMUS ROOT EXTRACT,283-869-0,,"""No penalty"" in all categories.","['Skin conditioning : Maintains skin in good condition', 'Perfuming : Used for perfume and aromatic raw materials']",,"Ekstrakt korijena slatke zastavice, Ekstrakt z korzenia tataraku, Estratto di radice di bandiera dolce, Extract de rădăcină de steag dulce, Extract van de wortel van de zoete vlag, Extracto de raíz de cálamo dulce, Extrait de racine de Jonc odorant, Extrakt z koreňa sladkej vlajky, Extrakt z kořene sladkého praporce, Extrato de raiz de bandeira doce, Kalmuswurzel-Extrakt, Tatlı bayrak kökü özütü, Édes zászló gyökér kivonat, Екстракт корена слатке заставе, Екстракт от корен на сладък флаг, תמצית שורש דגל מתוק, مستخلص جذر العلم الحلو, スイートフラッグ根エキス, 달맞이꽃뿌리추출물",Vegetal,,
ACRYLATES COPOLYMER,,Synthetic polymer,"""Medium penalty"" in all categories.","['Antistatic : Reduces static electricity by neutralizing electrical charge on a surface', 'Binding agent : Allows the cohesion of different cosmetic ingredients', 'Film forming : Produces a continuous film on skin, hair or nails']",,"Acrylatcopolymer, Acrylaten copolymeer, Akrilat kopolimeri, Akrilatni kopolimer, Akrilát kopolimer, Akrylátový kopolymer, Akrylátový kopolymér, Copolimer acrilat, Copolimero di acrilati, Copolymère d'acrylate, Copolímero de acrilatos, Kopolimer akrylanów, Акрилатен съполимер, Кополимер акрилата, אקרילטים קופולימר, كوبوليمر أكريلات, アクリレート共重合体, 아크릴레이트 공중합체",,,
ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,,Synthetic polymer,"""Medium penalty"" in all categories.","['Emulsion stabilising : Promotes the emulsification process and improves the stability and shelf life of the emulsion', 'Film forming : Produces a continuous film on skin, hair or nails', 'Viscosity controlling : Increases or decreases the viscosity of cosmetics']",,,Synthetic,,
ACRYLATES/METHACRYLOYLOXYETHYL PHOSPHATE COPOLYMER,,Synthetic polymer,"""Medium penalty"" in all categories.",['Skin protecting : Helps to avoid the harmful effects of external factors on the skin'],,,,,
ACRYLIC ACID,201-177-9,,"""Medium penalty"" in all categories.",['Maintenance agent for nails : Improves the nails’ aesthetic characteristics'],,,Synthetic,,
ACTINIDIA CHINENSIS FRUIT EXTRACT,296-241-6,,"""No penalty"" in all categories.","['Emollient : Softens and smoothes the skin', 'Skin conditioning : Maintains skin in good condition']",,"Ekstrakt ploda kivija, Ekstrakt z owoców kiwi, Estratto di kiwi, Extract de fructe de kiwi, Extracto de fruta de kiwi, Extrait de kiwi, Extrakt z kiwi, Extrato de fruta kiwi, Kivi meyve özütü, Kiwi gyümölcs kivonat, Kiwi-vruchtextract, Kiwifruchtextrakt, Výťažok z kiwi, Екстракт воћа кивија, Екстракт от плодове киви, תמצית פרי קיווי, مستخلص فاكهة الكيوي, キウイフルーツエキス, 키위 과일 추출물",Vegetal,,
ACTINIDIA CHINENSIS SEED OIL,-,Vegetable oil,"""No penalty"" in all categories.","['Emollient : Softens and smoothes the skin', 'Skin conditioning : Maintains skin in good condition']",,"Aceite de semilla de kiwi, Extrait de graine de Kiwi, Kivi çekirdeği yağı, Kiwi mag olaj, Kiwi zaadolie, Kiwikernöl, Olej z nasion kiwi, Olej ze semínek kiwi, Olej zo semien kiwi, Olio di semi di kiwi, Ulei de semințe de kiwi, Ulje sjemenki kivija, Óleo de semente de kiwi, Масло от семена на киви, Уље од семена кивија, שמן זרעי קיווי, زيت بذور الكيوي, キウイシードオイル, 키위씨드 오일",Vegetal,,
ACTINIDIA DELICIOSA FRUIT EXTRACT,-,,"""No penalty"" in all categories.",['Skin conditioning : Maintains skin in good condition'],,"Ekstrakt ploda kivija, Ekstrakt z owoców kiwi, Estratto di kiwi, Extract de fructe de kiwi, Extracto de fruta de kiwi, Extrait de kiwi, Extrakt z kiwi, Extrato de fruta kiwi, Kivi meyve özütü, Kiwi gyümölcs kivonat, Kiwi-vruchtextract, Kiwifruchtextrakt, Výťažok z kiwi, Екстракт воћа кивија, Екстракт от плодове киви, תמצית פרי קיווי, مستخلص فاكهة الكيوي, キウイフルーツエキス, 키위 과일 추출물",,,
